batch,hit,miss,rate
1, 49,1,98.00
2, 49,1,98.00
3, 50,0,100.00
4, 49,1,98.00
5, 49,1,98.00
6, 50,0,100.00
7, 50,0,100.00
8, 50,0,100.00
9, 50,0,100.00
10, 50,0,100.00
11, 50,0,100.00
12, 50,0,100.00
13, 49,1,98.00
14, 49,1,98.00
15, 49,1,98.00
16, 48,2,96.00
17, 50,0,100.00
18, 49,1,98.00
19, 50,0,100.00
20, 50,0,100.00
21, 50,0,100.00
22, 50,0,100.00
23, 49,1,98.00
24, 49,1,98.00
25, 50,0,100.00
26, 50,0,100.00
27, 50,0,100.00
28, 49,1,98.00
29, 50,0,100.00
30, 49,1,98.00
31, 50,0,100.00
32, 49,1,98.00
33, 50,0,100.00
34, 49,1,98.00
35, 49,1,98.00
36, 50,0,100.00
37, 48,2,96.00
38, 48,2,96.00
39, 49,1,98.00
40, 48,2,96.00
41, 50,0,100.00
42, 50,0,100.00
43, 50,0,100.00
44, 50,0,100.00
45, 49,1,98.00
46, 49,1,98.00
47, 49,1,98.00
48, 50,0,100.00
49, 49,1,98.00
50, 49,1,98.00
51, 49,1,98.00
52, 49,1,98.00
53, 50,0,100.00
54, 50,0,100.00
55, 49,1,98.00
56, 50,0,100.00
57, 48,2,96.00
58, 50,0,100.00
59, 49,1,98.00
60, 49,1,98.00
61, 50,0,100.00
62, 48,2,96.00
63, 50,0,100.00
64, 50,0,100.00
65, 49,1,98.00
66, 48,2,96.00
67, 50,0,100.00
68, 50,0,100.00
69, 47,3,94.00
70, 49,1,98.00
71, 50,0,100.00
72, 47,3,94.00
73, 49,1,98.00
74, 50,0,100.00
75, 50,0,100.00
76, 49,1,98.00
77, 49,1,98.00
78, 50,0,100.00
79, 50,0,100.00
80, 50,0,100.00
81, 48,2,96.00
82, 50,0,100.00
83, 48,2,96.00
84, 49,1,98.00
85, 50,0,100.00
86, 50,0,100.00
87, 50,0,100.00
88, 48,2,96.00
89, 50,0,100.00
90, 49,1,98.00
91, 50,0,100.00
92, 49,1,98.00
93, 50,0,100.00
94, 49,1,98.00
95, 50,0,100.00
96, 50,0,100.00
97, 50,0,100.00
98, 50,0,100.00
99, 49,1,98.00
100, 50,0,100.00
101, 50,0,100.00
102, 49,1,98.00
103, 49,1,98.00
104, 49,1,98.00
105, 49,1,98.00
106, 50,0,100.00
107, 48,2,96.00
108, 50,0,100.00
109, 50,0,100.00
110, 50,0,100.00
111, 49,1,98.00
112, 49,1,98.00
113, 50,0,100.00
114, 50,0,100.00
115, 50,0,100.00
116, 49,1,98.00
117, 50,0,100.00
118, 50,0,100.00
119, 48,2,96.00
120, 49,1,98.00
121, 50,0,100.00
122, 50,0,100.00
123, 50,0,100.00
124, 49,1,98.00
125, 49,1,98.00
126, 50,0,100.00
127, 50,0,100.00
128, 50,0,100.00
129, 50,0,100.00
130, 50,0,100.00
131, 49,1,98.00
132, 50,0,100.00
133, 50,0,100.00
134, 49,1,98.00
135, 49,1,98.00
136, 50,0,100.00
137, 50,0,100.00
138, 49,1,98.00
139, 50,0,100.00
140, 49,1,98.00
141, 50,0,100.00
142, 50,0,100.00
143, 50,0,100.00
144, 50,0,100.00
145, 50,0,100.00
146, 50,0,100.00
147, 49,1,98.00
148, 50,0,100.00
149, 50,0,100.00
150, 50,0,100.00
151, 50,0,100.00
152, 50,0,100.00
153, 49,1,98.00
154, 49,1,98.00
155, 48,2,96.00
156, 50,0,100.00
157, 48,2,96.00
158, 50,0,100.00
159, 50,0,100.00
160, 48,2,96.00
161, 50,0,100.00
162, 50,0,100.00
163, 50,0,100.00
164, 49,1,98.00
165, 48,2,96.00
166, 50,0,100.00
167, 50,0,100.00
168, 50,0,100.00
169, 50,0,100.00
170, 49,1,98.00
171, 50,0,100.00
172, 49,1,98.00
173, 49,1,98.00
174, 49,1,98.00
175, 49,1,98.00
176, 49,1,98.00
177, 48,2,96.00
178, 50,0,100.00
179, 50,0,100.00
180, 50,0,100.00
181, 50,0,100.00
182, 50,0,100.00
183, 50,0,100.00
184, 50,0,100.00
185, 49,1,98.00
186, 49,1,98.00
187, 50,0,100.00
188, 50,0,100.00
189, 50,0,100.00
190, 50,0,100.00
191, 50,0,100.00
192, 50,0,100.00
193, 50,0,100.00
194, 50,0,100.00
195, 50,0,100.00
196, 50,0,100.00
197, 50,0,100.00
198, 50,0,100.00
199, 50,0,100.00
200, 49,1,98.00
