batch,hit,miss,rate
0, 41,23,64.06
1, 38,26,59.38
2, 41,23,64.06
3, 36,28,56.25
4, 36,28,56.25
5, 31,33,48.44
6, 39,25,60.94
7, 39,25,60.94
8, 45,19,70.31
9, 30,34,46.88
10, 41,23,64.06
11, 37,27,57.81
12, 43,21,67.19
13, 35,29,54.69
14, 31,33,48.44
15, 44,20,68.75
16, 40,24,62.50
17, 44,20,68.75
18, 38,26,59.38
19, 35,29,54.69
20, 41,23,64.06
21, 37,27,57.81
22, 34,30,53.12
23, 34,30,53.12
24, 33,31,51.56
25, 40,24,62.50
26, 39,25,60.94
27, 38,26,59.38
28, 32,32,50.00
29, 42,22,65.62
30, 33,31,51.56
31, 34,30,53.12
32, 37,27,57.81
33, 45,19,70.31
34, 34,30,53.12
35, 38,26,59.38
36, 39,25,60.94
37, 33,31,51.56
38, 34,30,53.12
39, 35,29,54.69
40, 39,25,60.94
41, 40,24,62.50
42, 40,24,62.50
43, 40,24,62.50
44, 39,25,60.94
45, 36,28,56.25
46, 39,25,60.94
47, 33,31,51.56
48, 34,30,53.12
49, 36,28,56.25
50, 36,28,56.25
51, 37,27,57.81
52, 38,26,59.38
53, 34,30,53.12
54, 37,27,57.81
55, 47,17,73.44
56, 44,20,68.75
57, 42,22,65.62
58, 41,23,64.06
59, 41,23,64.06
60, 37,27,57.81
61, 34,30,53.12
62, 43,21,67.19
63, 31,33,48.44
64, 35,29,54.69
65, 39,25,60.94
66, 41,23,64.06
67, 35,29,54.69
68, 45,19,70.31
69, 37,27,57.81
70, 42,22,65.62
71, 43,21,67.19
72, 37,27,57.81
73, 31,33,48.44
74, 39,25,60.94
75, 38,26,59.38
76, 36,28,56.25
77, 41,23,64.06
78, 34,30,53.12
79, 35,29,54.69
80, 33,31,51.56
81, 36,28,56.25
82, 34,30,53.12
83, 33,31,51.56
84, 42,22,65.62
85, 32,32,50.00
86, 32,32,50.00
87, 41,23,64.06
88, 40,24,62.50
89, 36,28,56.25
90, 34,30,53.12
91, 42,22,65.62
92, 33,31,51.56
93, 31,33,48.44
94, 35,29,54.69
95, 38,26,59.38
96, 38,26,59.38
97, 36,28,56.25
98, 35,29,54.69
99, 41,23,64.06
100, 42,22,65.62
101, 41,23,64.06
102, 40,24,62.50
103, 37,27,57.81
104, 40,24,62.50
105, 36,28,56.25
106, 35,29,54.69
107, 33,31,51.56
108, 37,27,57.81
109, 44,20,68.75
110, 39,25,60.94
111, 36,28,56.25
112, 38,26,59.38
113, 37,27,57.81
114, 29,35,45.31
115, 37,27,57.81
116, 38,26,59.38
117, 34,30,53.12
118, 45,19,70.31
119, 41,23,64.06
120, 43,21,67.19
121, 35,29,54.69
122, 40,24,62.50
123, 38,26,59.38
124, 38,26,59.38
125, 44,20,68.75
126, 45,19,70.31
127, 40,24,62.50
128, 34,30,53.12
129, 32,32,50.00
130, 44,20,68.75
131, 43,21,67.19
132, 41,23,64.06
133, 43,21,67.19
134, 40,24,62.50
135, 37,27,57.81
136, 38,26,59.38
137, 33,31,51.56
138, 37,27,57.81
139, 40,24,62.50
140, 40,24,62.50
141, 38,26,59.38
142, 43,21,67.19
143, 32,32,50.00
144, 35,29,54.69
145, 49,15,76.56
146, 37,27,57.81
147, 36,28,56.25
148, 36,28,56.25
149, 37,27,57.81
150, 35,29,54.69
151, 32,32,50.00
152, 40,24,62.50
153, 41,23,64.06
154, 31,33,48.44
155, 33,31,51.56
156, 35,29,54.69
157, 39,25,60.94
158, 38,26,59.38
159, 41,23,64.06
160, 34,30,53.12
161, 34,30,53.12
162, 40,24,62.50
163, 39,25,60.94
164, 27,37,42.19
165, 33,31,51.56
166, 45,19,70.31
167, 41,23,64.06
168, 37,27,57.81
169, 39,25,60.94
170, 37,27,57.81
171, 43,21,67.19
172, 39,25,60.94
173, 34,30,53.12
174, 34,30,53.12
175, 38,26,59.38
176, 33,31,51.56
177, 40,24,62.50
178, 33,31,51.56
179, 38,26,59.38
180, 44,20,68.75
181, 40,24,62.50
182, 36,28,56.25
183, 38,26,59.38
184, 42,22,65.62
185, 39,25,60.94
186, 38,26,59.38
187, 35,29,54.69
188, 37,27,57.81
189, 42,22,65.62
190, 40,24,62.50
191, 36,28,56.25
192, 34,30,53.12
193, 31,33,48.44
194, 39,25,60.94
195, 40,24,62.50
196, 42,22,65.62
197, 31,33,48.44
198, 35,29,54.69
199, 41,23,64.06
200, 39,25,60.94
201, 46,18,71.88
202, 36,28,56.25
203, 38,26,59.38
204, 37,27,57.81
205, 42,22,65.62
206, 37,27,57.81
207, 33,31,51.56
208, 42,22,65.62
209, 37,27,57.81
210, 37,27,57.81
211, 37,27,57.81
212, 38,26,59.38
213, 34,30,53.12
