batch,hit,miss,rate
289, 51,13,79.69
290, 49,15,76.56
291, 51,13,79.69
292, 52,12,81.25
293, 50,14,78.12
294, 53,11,82.81
295, 51,13,79.69
296, 56,8,87.50
297, 50,14,78.12
298, 57,7,89.06
299, 52,12,81.25
300, 46,18,71.88
301, 54,10,84.38
302, 53,11,82.81
303, 51,13,79.69
304, 48,16,75.00
305, 56,8,87.50
306, 54,10,84.38
307, 49,15,76.56
308, 55,9,85.94
309, 60,4,93.75
310, 53,11,82.81
311, 55,9,85.94
312, 52,12,81.25
313, 55,9,85.94
314, 56,8,87.50
315, 55,9,85.94
316, 53,11,82.81
317, 48,16,75.00
318, 55,9,85.94
319, 56,8,87.50
320, 56,8,87.50
321, 51,13,79.69
322, 51,13,79.69
323, 51,13,79.69
324, 57,7,89.06
325, 59,5,92.19
326, 50,14,78.12
327, 52,12,81.25
328, 50,14,78.12
329, 57,7,89.06
330, 52,12,81.25
331, 46,18,71.88
332, 51,13,79.69
333, 50,14,78.12
334, 50,14,78.12
335, 53,11,82.81
336, 53,11,82.81
337, 54,10,84.38
338, 51,13,79.69
339, 59,5,92.19
340, 49,15,76.56
341, 54,10,84.38
342, 55,9,85.94
343, 59,5,92.19
344, 55,9,85.94
345, 57,7,89.06
346, 51,13,79.69
347, 48,16,75.00
348, 52,12,81.25
349, 46,18,71.88
350, 57,7,89.06
351, 50,14,78.12
352, 52,12,81.25
353, 48,16,75.00
354, 47,17,73.44
355, 53,11,82.81
356, 49,15,76.56
357, 52,12,81.25
358, 56,8,87.50
359, 53,11,82.81
360, 56,8,87.50
361, 50,14,78.12
362, 52,12,81.25
363, 52,12,81.25
364, 51,13,79.69
365, 52,12,81.25
366, 51,13,79.69
367, 50,14,78.12
368, 53,11,82.81
369, 48,16,75.00
370, 57,7,89.06
371, 55,9,85.94
372, 48,16,75.00
373, 50,14,78.12
374, 49,15,76.56
375, 51,13,79.69
376, 54,10,84.38
377, 50,14,78.12
378, 55,9,85.94
379, 51,13,79.69
380, 55,9,85.94
381, 56,8,87.50
382, 52,12,81.25
383, 56,8,87.50
384, 46,18,71.88
385, 51,13,79.69
386, 54,10,84.38
387, 57,7,89.06
388, 49,15,76.56
389, 49,15,76.56
390, 53,11,82.81
391, 54,10,84.38
392, 51,13,79.69
393, 49,15,76.56
394, 47,17,73.44
395, 57,7,89.06
396, 53,11,82.81
397, 52,12,81.25
398, 51,13,79.69
399, 59,5,92.19
400, 53,11,82.81
401, 57,7,89.06
402, 54,10,84.38
403, 52,12,81.25
404, 50,14,78.12
405, 51,13,79.69
406, 54,10,84.38
407, 49,15,76.56
408, 51,13,79.69
409, 50,14,78.12
410, 55,9,85.94
411, 59,5,92.19
412, 53,11,82.81
413, 52,12,81.25
414, 56,8,87.50
415, 57,7,89.06
416, 56,8,87.50
417, 54,10,84.38
418, 52,12,81.25
419, 52,12,81.25
420, 55,9,85.94
421, 50,14,78.12
422, 58,6,90.62
423, 50,14,78.12
424, 46,18,71.88
425, 49,15,76.56
426, 57,7,89.06
427, 53,11,82.81
428, 51,13,79.69
429, 57,7,89.06
430, 52,12,81.25
431, 54,10,84.38
432, 52,12,81.25
433, 53,11,82.81
434, 56,8,87.50
435, 57,7,89.06
436, 55,9,85.94
437, 51,13,79.69
438, 51,13,79.69
439, 55,9,85.94
440, 51,13,79.69
441, 51,13,79.69
442, 53,11,82.81
443, 54,10,84.38
444, 52,12,81.25
445, 58,6,90.62
446, 50,14,78.12
447, 52,12,81.25
448, 51,13,79.69
449, 50,14,78.12
450, 53,11,82.81
451, 52,12,81.25
452, 53,11,82.81
453, 55,9,85.94
454, 56,8,87.50
455, 55,9,85.94
456, 50,14,78.12
457, 51,13,79.69
458, 49,15,76.56
459, 50,14,78.12
460, 53,11,82.81
461, 53,11,82.81
462, 55,9,85.94
463, 53,11,82.81
464, 50,14,78.12
465, 58,6,90.62
466, 52,12,81.25
467, 54,10,84.38
468, 54,10,84.38
469, 57,7,89.06
470, 56,8,87.50
471, 54,10,84.38
472, 56,8,87.50
473, 55,9,85.94
474, 52,12,81.25
475, 55,9,85.94
476, 49,15,76.56
477, 53,11,82.81
478, 55,9,85.94
479, 55,9,85.94
480, 52,12,81.25
481, 52,12,81.25
482, 54,10,84.38
483, 47,17,73.44
484, 50,14,78.12
485, 53,11,82.81
486, 51,13,79.69
487, 50,14,78.12
488, 53,11,82.81
489, 52,12,81.25
490, 53,11,82.81
491, 56,8,87.50
492, 48,16,75.00
493, 55,9,85.94
494, 52,12,81.25
495, 50,14,78.12
496, 49,15,76.56
497, 49,15,76.56
498, 54,10,84.38
499, 55,9,85.94
500, 49,15,76.56
501, 49,15,76.56
502, 52,12,81.25
503, 58,6,90.62
504, 53,11,82.81
505, 52,12,81.25
506, 50,14,78.12
507, 56,8,87.50
508, 51,13,79.69
509, 56,8,87.50
510, 61,3,95.31
511, 52,12,81.25
512, 58,6,90.62
513, 52,12,81.25
514, 49,15,76.56
515, 55,9,85.94
516, 50,14,78.12
517, 53,11,82.81
518, 45,19,70.31
519, 48,16,75.00
520, 50,14,78.12
521, 56,8,87.50
522, 55,9,85.94
523, 49,15,76.56
524, 54,10,84.38
525, 55,9,85.94
526, 45,19,70.31
527, 52,12,81.25
528, 48,16,75.00
529, 51,13,79.69
530, 54,10,84.38
531, 56,8,87.50
532, 52,12,81.25
533, 56,8,87.50
534, 52,12,81.25
535, 58,6,90.62
536, 53,11,82.81
537, 55,9,85.94
538, 55,9,85.94
539, 50,14,78.12
540, 53,11,82.81
541, 55,9,85.94
542, 55,9,85.94
543, 52,12,81.25
544, 56,8,87.50
545, 53,11,82.81
546, 50,14,78.12
547, 58,6,90.62
548, 52,12,81.25
549, 52,12,81.25
550, 51,13,79.69
551, 57,7,89.06
552, 53,11,82.81
553, 51,13,79.69
554, 53,11,82.81
555, 52,12,81.25
556, 52,12,81.25
557, 47,17,73.44
558, 49,15,76.56
559, 50,14,78.12
560, 57,7,89.06
561, 54,10,84.38
562, 56,8,87.50
563, 48,16,75.00
564, 56,8,87.50
565, 53,11,82.81
566, 54,10,84.38
567, 55,9,85.94
568, 52,12,81.25
569, 52,12,81.25
570, 55,9,85.94
571, 50,14,78.12
572, 53,11,82.81
573, 50,14,78.12
574, 48,16,75.00
575, 55,9,85.94
576, 52,12,81.25
577, 57,7,89.06
578, 54,10,84.38
579, 47,17,73.44
580, 56,8,87.50
581, 55,9,85.94
582, 57,7,89.06
583, 53,11,82.81
584, 50,14,78.12
585, 54,10,84.38
586, 55,9,85.94
587, 56,8,87.50
588, 57,7,89.06
589, 52,12,81.25
590, 56,8,87.50
591, 56,8,87.50
592, 51,13,79.69
593, 57,7,89.06
594, 59,5,92.19
595, 46,18,71.88
596, 55,9,85.94
597, 52,12,81.25
598, 51,13,79.69
599, 54,10,84.38
600, 56,8,87.50
601, 57,7,89.06
602, 58,6,90.62
603, 50,14,78.12
604, 54,10,84.38
605, 57,7,89.06
606, 52,12,81.25
607, 48,16,75.00
608, 51,13,79.69
609, 50,14,78.12
610, 51,13,79.69
611, 55,9,85.94
612, 54,10,84.38
613, 47,17,73.44
614, 50,14,78.12
615, 51,13,79.69
616, 51,13,79.69
617, 55,9,85.94
618, 54,10,84.38
619, 51,13,79.69
620, 58,6,90.62
621, 54,10,84.38
622, 52,12,81.25
623, 52,12,81.25
624, 60,4,93.75
625, 52,12,81.25
626, 50,14,78.12
627, 55,9,85.94
628, 55,9,85.94
629, 55,9,85.94
630, 50,14,78.12
631, 55,9,85.94
632, 53,11,82.81
633, 50,14,78.12
634, 47,17,73.44
635, 50,14,78.12
636, 55,9,85.94
637, 53,11,82.81
638, 51,13,79.69
639, 50,14,78.12
640, 51,13,79.69
641, 56,8,87.50
642, 50,14,78.12
643, 52,12,81.25
644, 56,8,87.50
645, 51,13,79.69
646, 46,18,71.88
647, 54,10,84.38
648, 52,12,81.25
649, 49,15,76.56
650, 50,14,78.12
651, 53,11,82.81
652, 47,17,73.44
653, 57,7,89.06
654, 55,9,85.94
655, 56,8,87.50
656, 52,12,81.25
657, 46,18,71.88
658, 54,10,84.38
659, 54,10,84.38
660, 55,9,85.94
661, 48,16,75.00
662, 50,14,78.12
663, 53,11,82.81
664, 57,7,89.06
665, 55,9,85.94
666, 59,5,92.19
667, 57,7,89.06
668, 52,12,81.25
669, 50,14,78.12
670, 50,14,78.12
671, 56,8,87.50
672, 52,12,81.25
673, 53,11,82.81
674, 51,13,79.69
675, 53,11,82.81
676, 51,13,79.69
677, 59,5,92.19
678, 49,15,76.56
679, 54,10,84.38
680, 45,19,70.31
681, 55,9,85.94
682, 51,13,79.69
683, 55,9,85.94
684, 51,13,79.69
685, 58,6,90.62
686, 56,8,87.50
687, 55,9,85.94
688, 54,10,84.38
689, 54,10,84.38
690, 54,10,84.38
691, 54,10,84.38
692, 53,11,82.81
693, 48,16,75.00
694, 51,13,79.69
695, 55,9,85.94
696, 49,15,76.56
697, 51,13,79.69
698, 57,7,89.06
699, 54,10,84.38
700, 46,18,71.88
701, 58,6,90.62
702, 55,9,85.94
703, 54,10,84.38
704, 59,5,92.19
705, 51,13,79.69
706, 53,11,82.81
707, 54,10,84.38
708, 51,13,79.69
709, 54,10,84.38
710, 51,13,79.69
711, 57,7,89.06
712, 52,12,81.25
713, 47,17,73.44
714, 53,11,82.81
715, 50,14,78.12
716, 56,8,87.50
717, 48,16,75.00
718, 52,12,81.25
719, 52,12,81.25
720, 50,14,78.12
721, 54,10,84.38
722, 53,11,82.81
723, 51,13,79.69
724, 54,10,84.38
725, 51,13,79.69
726, 49,15,76.56
727, 50,14,78.12
728, 56,8,87.50
729, 51,13,79.69
730, 51,13,79.69
731, 55,9,85.94
732, 52,12,81.25
733, 52,12,81.25
734, 55,9,85.94
735, 54,10,84.38
736, 54,10,84.38
737, 58,6,90.62
738, 51,13,79.69
739, 54,10,84.38
740, 55,9,85.94
741, 53,11,82.81
742, 58,6,90.62
743, 49,15,76.56
744, 56,8,87.50
745, 53,11,82.81
746, 51,13,79.69
747, 51,13,79.69
748, 56,8,87.50
749, 51,13,79.69
750, 55,9,85.94
751, 57,7,89.06
752, 48,16,75.00
753, 53,11,82.81
754, 55,9,85.94
755, 51,13,79.69
756, 54,10,84.38
757, 50,14,78.12
758, 53,11,82.81
759, 52,12,81.25
760, 54,10,84.38
761, 48,16,75.00
762, 58,6,90.62
763, 50,14,78.12
764, 55,9,85.94
765, 57,7,89.06
766, 52,12,81.25
767, 54,10,84.38
768, 51,13,79.69
769, 49,15,76.56
770, 55,9,85.94
771, 55,9,85.94
772, 52,12,81.25
773, 55,9,85.94
774, 55,9,85.94
775, 52,12,81.25
776, 52,12,81.25
777, 46,18,71.88
778, 49,15,76.56
779, 53,11,82.81
780, 56,8,87.50
781, 53,11,82.81
