batch,hit,miss,rate
0, 1,63,1.56
1, 0,64,0.00
2, 1,63,1.56
3, 3,61,4.69
4, 0,64,0.00
5, 0,64,0.00
6, 0,64,0.00
7, 0,64,0.00
8, 2,62,3.12
9, 0,64,0.00
10, 0,64,0.00
11, 0,64,0.00
12, 0,64,0.00
13, 1,63,1.56
14, 1,63,1.56
15, 1,63,1.56
16, 0,64,0.00
17, 0,64,0.00
18, 1,63,1.56
