batch,hit,miss,rate
290, 34,16,68.00
291, 37,13,74.00
292, 32,18,64.00
293, 34,16,68.00
294, 38,12,76.00
295, 36,14,72.00
296, 38,12,76.00
297, 39,11,78.00
298, 36,14,72.00
299, 35,15,70.00
300, 34,16,68.00
301, 39,11,78.00
302, 34,16,68.00
303, 38,12,76.00
304, 33,17,66.00
305, 34,16,68.00
306, 33,17,66.00
307, 37,13,74.00
308, 35,15,70.00
309, 41,9,82.00
310, 35,15,70.00
311, 33,17,66.00
312, 27,23,54.00
313, 38,12,76.00
314, 35,15,70.00
315, 28,22,56.00
316, 36,14,72.00
317, 33,17,66.00
318, 34,16,68.00
319, 42,8,84.00
320, 39,11,78.00
321, 29,21,58.00
322, 35,15,70.00
323, 38,12,76.00
324, 37,13,74.00
325, 32,18,64.00
326, 33,17,66.00
327, 35,15,70.00
328, 34,16,68.00
329, 30,20,60.00
330, 31,19,62.00
331, 34,16,68.00
332, 36,14,72.00
333, 37,13,74.00
334, 30,20,60.00
335, 35,15,70.00
336, 32,18,64.00
337, 32,18,64.00
338, 31,19,62.00
339, 33,17,66.00
340, 34,16,68.00
341, 34,16,68.00
342, 36,14,72.00
343, 37,13,74.00
344, 37,13,74.00
345, 38,12,76.00
346, 39,11,78.00
347, 35,15,70.00
348, 28,22,56.00
349, 37,13,74.00
350, 32,18,64.00
351, 31,19,62.00
352, 36,14,72.00
353, 38,12,76.00
354, 36,14,72.00
355, 32,18,64.00
356, 34,16,68.00
357, 40,10,80.00
358, 36,14,72.00
359, 38,12,76.00
360, 36,14,72.00
361, 31,19,62.00
362, 33,17,66.00
363, 41,9,82.00
364, 39,11,78.00
365, 33,17,66.00
366, 36,14,72.00
367, 32,18,64.00
368, 29,21,58.00
369, 33,17,66.00
370, 35,15,70.00
371, 33,17,66.00
372, 31,19,62.00
373, 38,12,76.00
374, 40,10,80.00
375, 36,14,72.00
376, 35,15,70.00
377, 35,15,70.00
378, 35,15,70.00
379, 37,13,74.00
380, 38,12,76.00
381, 41,9,82.00
382, 40,10,80.00
383, 35,15,70.00
384, 35,15,70.00
385, 37,13,74.00
386, 32,18,64.00
387, 35,15,70.00
388, 36,14,72.00
389, 34,16,68.00
390, 36,14,72.00
391, 38,12,76.00
392, 34,16,68.00
393, 36,14,72.00
394, 30,20,60.00
395, 37,13,74.00
396, 32,18,64.00
397, 27,23,54.00
398, 31,19,62.00
399, 37,13,74.00
400, 34,16,68.00
401, 36,14,72.00
402, 34,16,68.00
403, 32,18,64.00
404, 30,20,60.00
405, 36,14,72.00
406, 36,14,72.00
407, 41,9,82.00
408, 33,17,66.00
409, 35,15,70.00
410, 39,11,78.00
411, 30,20,60.00
412, 41,9,82.00
413, 32,18,64.00
414, 34,16,68.00
415, 39,11,78.00
416, 32,18,64.00
417, 35,15,70.00
418, 34,16,68.00
419, 42,8,84.00
420, 42,8,84.00
421, 35,15,70.00
422, 33,17,66.00
423, 38,12,76.00
424, 33,17,66.00
425, 40,10,80.00
426, 37,13,74.00
427, 36,14,72.00
428, 32,18,64.00
429, 35,15,70.00
430, 33,17,66.00
431, 33,17,66.00
432, 39,11,78.00
433, 39,11,78.00
434, 35,15,70.00
435, 40,10,80.00
436, 33,17,66.00
437, 38,12,76.00
438, 36,14,72.00
439, 36,14,72.00
440, 38,12,76.00
441, 32,18,64.00
442, 37,13,74.00
443, 35,15,70.00
444, 38,12,76.00
445, 30,20,60.00
446, 33,17,66.00
447, 32,18,64.00
448, 37,13,74.00
449, 37,13,74.00
450, 28,22,56.00
451, 40,10,80.00
452, 33,17,66.00
453, 33,17,66.00
454, 34,16,68.00
455, 37,13,74.00
456, 35,15,70.00
457, 35,15,70.00
458, 33,17,66.00
459, 37,13,74.00
460, 31,19,62.00
461, 33,17,66.00
462, 37,13,74.00
463, 35,15,70.00
464, 34,16,68.00
465, 29,21,58.00
466, 38,12,76.00
467, 37,13,74.00
468, 38,12,76.00
469, 40,10,80.00
470, 36,14,72.00
471, 36,14,72.00
472, 39,11,78.00
473, 29,21,58.00
474, 28,22,56.00
475, 36,14,72.00
476, 33,17,66.00
477, 38,12,76.00
478, 30,20,60.00
479, 30,20,60.00
480, 32,18,64.00
481, 34,16,68.00
482, 38,12,76.00
483, 30,20,60.00
484, 35,15,70.00
485, 37,13,74.00
486, 36,14,72.00
487, 38,12,76.00
488, 33,17,66.00
489, 28,22,56.00
490, 32,18,64.00
491, 37,13,74.00
492, 41,9,82.00
493, 37,13,74.00
494, 32,18,64.00
495, 42,8,84.00
