batch,hit,miss,rate
1, 45,5,90.00
2, 47,3,94.00
3, 42,8,84.00
4, 47,3,94.00
5, 41,9,82.00
6, 44,6,88.00
7, 45,5,90.00
8, 43,7,86.00
9, 48,2,96.00
10, 49,1,98.00
11, 46,4,92.00
12, 45,5,90.00
13, 49,1,98.00
14, 40,10,80.00
15, 45,5,90.00
16, 45,5,90.00
17, 42,8,84.00
18, 46,4,92.00
19, 46,4,92.00
20, 45,5,90.00
21, 47,3,94.00
22, 46,4,92.00
23, 43,7,86.00
24, 47,3,94.00
25, 45,5,90.00
26, 43,7,86.00
27, 42,8,84.00
28, 45,5,90.00
29, 44,6,88.00
30, 46,4,92.00
31, 43,7,86.00
32, 40,10,80.00
33, 44,6,88.00
34, 44,6,88.00
35, 43,7,86.00
36, 45,5,90.00
37, 48,2,96.00
38, 45,5,90.00
39, 43,7,86.00
40, 43,7,86.00
41, 45,5,90.00
42, 43,7,86.00
43, 42,8,84.00
44, 41,9,82.00
45, 48,2,96.00
46, 46,4,92.00
47, 48,2,96.00
48, 43,7,86.00
49, 47,3,94.00
50, 46,4,92.00
51, 45,5,90.00
52, 46,4,92.00
53, 46,4,92.00
54, 49,1,98.00
55, 42,8,84.00
56, 47,3,94.00
57, 47,3,94.00
58, 48,2,96.00
59, 42,8,84.00
60, 46,4,92.00
61, 44,6,88.00
62, 46,4,92.00
63, 43,7,86.00
64, 48,2,96.00
65, 43,7,86.00
66, 46,4,92.00
67, 46,4,92.00
68, 45,5,90.00
69, 47,3,94.00
70, 47,3,94.00
71, 44,6,88.00
72, 44,6,88.00
73, 44,6,88.00
74, 47,3,94.00
75, 43,7,86.00
76, 40,10,80.00
77, 46,4,92.00
78, 47,3,94.00
79, 47,3,94.00
80, 43,7,86.00
81, 43,7,86.00
82, 46,4,92.00
83, 46,4,92.00
84, 45,5,90.00
85, 46,4,92.00
86, 45,5,90.00
87, 38,12,76.00
88, 46,4,92.00
89, 49,1,98.00
90, 44,6,88.00
91, 42,8,84.00
92, 45,5,90.00
93, 43,7,86.00
94, 44,6,88.00
95, 41,9,82.00
96, 47,3,94.00
97, 43,7,86.00
98, 47,3,94.00
99, 45,5,90.00
100, 44,6,88.00
101, 43,7,86.00
102, 45,5,90.00
103, 46,4,92.00
104, 43,7,86.00
105, 45,5,90.00
106, 44,6,88.00
107, 48,2,96.00
108, 38,12,76.00
109, 44,6,88.00
110, 45,5,90.00
111, 44,6,88.00
112, 47,3,94.00
113, 45,5,90.00
114, 47,3,94.00
115, 47,3,94.00
116, 45,5,90.00
117, 46,4,92.00
118, 45,5,90.00
119, 45,5,90.00
120, 43,7,86.00
121, 44,6,88.00
122, 43,7,86.00
123, 44,6,88.00
124, 42,8,84.00
125, 44,6,88.00
126, 45,5,90.00
127, 43,7,86.00
128, 45,5,90.00
129, 47,3,94.00
130, 47,3,94.00
131, 48,2,96.00
132, 45,5,90.00
133, 47,3,94.00
134, 43,7,86.00
135, 46,4,92.00
136, 44,6,88.00
137, 43,7,86.00
138, 43,7,86.00
139, 46,4,92.00
140, 45,5,90.00
141, 48,2,96.00
142, 45,5,90.00
143, 42,8,84.00
144, 42,8,84.00
145, 43,7,86.00
146, 43,7,86.00
147, 43,7,86.00
148, 46,4,92.00
149, 43,7,86.00
150, 47,3,94.00
151, 45,5,90.00
152, 46,4,92.00
153, 46,4,92.00
154, 43,7,86.00
155, 44,6,88.00
156, 45,5,90.00
157, 46,4,92.00
158, 46,4,92.00
159, 45,5,90.00
160, 44,6,88.00
161, 48,2,96.00
162, 44,6,88.00
163, 44,6,88.00
164, 43,7,86.00
165, 45,5,90.00
166, 44,6,88.00
167, 47,3,94.00
168, 41,9,82.00
169, 48,2,96.00
170, 44,6,88.00
171, 42,8,84.00
172, 44,6,88.00
173, 45,5,90.00
174, 47,3,94.00
175, 45,5,90.00
176, 43,7,86.00
177, 44,6,88.00
178, 45,5,90.00
179, 46,4,92.00
180, 44,6,88.00
181, 44,6,88.00
182, 43,7,86.00
183, 44,6,88.00
184, 46,4,92.00
185, 44,6,88.00
186, 46,4,92.00
187, 45,5,90.00
188, 43,7,86.00
189, 43,7,86.00
190, 44,6,88.00
191, 46,4,92.00
192, 42,8,84.00
193, 40,10,80.00
194, 41,9,82.00
195, 46,4,92.00
196, 46,4,92.00
197, 45,5,90.00
198, 45,5,90.00
199, 47,3,94.00
200, 46,4,92.00
201, 48,2,96.00
202, 46,4,92.00
203, 45,5,90.00
204, 47,3,94.00
205, 46,4,92.00
206, 47,3,94.00
207, 44,6,88.00
208, 49,1,98.00
209, 46,4,92.00
210, 42,8,84.00
211, 45,5,90.00
212, 43,7,86.00
213, 45,5,90.00
214, 45,5,90.00
215, 45,5,90.00
216, 42,8,84.00
217, 46,4,92.00
218, 44,6,88.00
219, 42,8,84.00
220, 42,8,84.00
221, 45,5,90.00
222, 44,6,88.00
223, 45,5,90.00
224, 46,4,92.00
225, 46,4,92.00
226, 47,3,94.00
227, 47,3,94.00
228, 44,6,88.00
229, 47,3,94.00
230, 47,3,94.00
231, 43,7,86.00
232, 45,5,90.00
233, 43,7,86.00
234, 43,7,86.00
235, 49,1,98.00
236, 42,8,84.00
237, 46,4,92.00
238, 43,7,86.00
239, 45,5,90.00
240, 44,6,88.00
241, 46,4,92.00
242, 46,4,92.00
243, 43,7,86.00
244, 45,5,90.00
245, 46,4,92.00
246, 43,7,86.00
247, 45,5,90.00
248, 45,5,90.00
249, 47,3,94.00
250, 49,1,98.00
251, 43,7,86.00
252, 42,8,84.00
253, 46,4,92.00
254, 40,10,80.00
255, 46,4,92.00
256, 44,6,88.00
257, 44,6,88.00
258, 42,8,84.00
259, 45,5,90.00
260, 45,5,90.00
261, 44,6,88.00
262, 44,6,88.00
263, 44,6,88.00
264, 45,5,90.00
265, 42,8,84.00
266, 43,7,86.00
267, 47,3,94.00
268, 45,5,90.00
269, 42,8,84.00
270, 42,8,84.00
271, 43,7,86.00
272, 44,6,88.00
273, 45,5,90.00
274, 42,8,84.00
275, 45,5,90.00
276, 45,5,90.00
277, 45,5,90.00
278, 46,4,92.00
279, 49,1,98.00
280, 46,4,92.00
281, 48,2,96.00
282, 44,6,88.00
283, 42,8,84.00
284, 46,4,92.00
285, 42,8,84.00
286, 44,6,88.00
287, 47,3,94.00
288, 46,4,92.00
289, 40,10,80.00
290, 45,5,90.00
291, 46,4,92.00
292, 43,7,86.00
293, 40,10,80.00
294, 47,3,94.00
295, 44,6,88.00
296, 44,6,88.00
297, 46,4,92.00
298, 44,6,88.00
299, 42,8,84.00
300, 48,2,96.00
301, 44,6,88.00
302, 45,5,90.00
303, 47,3,94.00
304, 44,6,88.00
305, 48,2,96.00
306, 42,8,84.00
307, 47,3,94.00
308, 48,2,96.00
309, 46,4,92.00
310, 44,6,88.00
311, 45,5,90.00
312, 40,10,80.00
313, 47,3,94.00
314, 41,9,82.00
315, 42,8,84.00
316, 48,2,96.00
317, 46,4,92.00
318, 43,7,86.00
319, 47,3,94.00
320, 46,4,92.00
321, 43,7,86.00
322, 39,11,78.00
323, 47,3,94.00
324, 47,3,94.00
325, 44,6,88.00
326, 45,5,90.00
327, 47,3,94.00
328, 49,1,98.00
329, 43,7,86.00
330, 43,7,86.00
331, 45,5,90.00
332, 46,4,92.00
333, 46,4,92.00
334, 42,8,84.00
335, 45,5,90.00
336, 41,9,82.00
337, 45,5,90.00
338, 43,7,86.00
339, 43,7,86.00
340, 48,2,96.00
341, 45,5,90.00
342, 42,8,84.00
343, 46,4,92.00
344, 43,7,86.00
345, 46,4,92.00
346, 45,5,90.00
347, 42,8,84.00
348, 41,9,82.00
349, 48,2,96.00
350, 45,5,90.00
351, 46,4,92.00
352, 45,5,90.00
353, 46,4,92.00
354, 46,4,92.00
355, 43,7,86.00
356, 47,3,94.00
357, 44,6,88.00
358, 45,5,90.00
359, 48,2,96.00
360, 45,5,90.00
361, 40,10,80.00
362, 44,6,88.00
363, 47,3,94.00
364, 46,4,92.00
365, 42,8,84.00
366, 46,4,92.00
367, 45,5,90.00
368, 43,7,86.00
369, 47,3,94.00
370, 47,3,94.00
371, 46,4,92.00
372, 44,6,88.00
373, 46,4,92.00
374, 46,4,92.00
375, 44,6,88.00
376, 44,6,88.00
377, 45,5,90.00
378, 44,6,88.00
379, 43,7,86.00
380, 46,4,92.00
381, 47,3,94.00
382, 46,4,92.00
383, 43,7,86.00
384, 47,3,94.00
385, 44,6,88.00
386, 48,2,96.00
387, 46,4,92.00
388, 41,9,82.00
389, 44,6,88.00
390, 47,3,94.00
391, 45,5,90.00
392, 42,8,84.00
393, 46,4,92.00
394, 43,7,86.00
395, 44,6,88.00
396, 44,6,88.00
397, 42,8,84.00
398, 42,8,84.00
399, 46,4,92.00
400, 41,9,82.00
401, 48,2,96.00
402, 44,6,88.00
403, 42,8,84.00
404, 44,6,88.00
405, 42,8,84.00
406, 45,5,90.00
407, 45,5,90.00
408, 45,5,90.00
409, 44,6,88.00
410, 46,4,92.00
411, 42,8,84.00
412, 47,3,94.00
413, 45,5,90.00
414, 44,6,88.00
415, 48,2,96.00
416, 44,6,88.00
417, 46,4,92.00
418, 42,8,84.00
419, 49,1,98.00
420, 46,4,92.00
421, 41,9,82.00
422, 48,2,96.00
423, 45,5,90.00
424, 46,4,92.00
425, 47,3,94.00
426, 44,6,88.00
427, 45,5,90.00
428, 47,3,94.00
429, 44,6,88.00
430, 43,7,86.00
431, 46,4,92.00
432, 46,4,92.00
433, 47,3,94.00
434, 44,6,88.00
435, 46,4,92.00
436, 40,10,80.00
437, 45,5,90.00
438, 49,1,98.00
439, 48,2,96.00
440, 42,8,84.00
441, 45,5,90.00
442, 42,8,84.00
443, 43,7,86.00
444, 45,5,90.00
445, 44,6,88.00
446, 44,6,88.00
447, 46,4,92.00
448, 48,2,96.00
449, 45,5,90.00
450, 44,6,88.00
451, 47,3,94.00
452, 41,9,82.00
453, 43,7,86.00
454, 42,8,84.00
455, 47,3,94.00
456, 44,6,88.00
457, 44,6,88.00
458, 45,5,90.00
459, 44,6,88.00
460, 45,5,90.00
461, 44,6,88.00
462, 43,7,86.00
463, 39,11,78.00
464, 45,5,90.00
465, 39,11,78.00
466, 49,1,98.00
467, 46,4,92.00
468, 44,6,88.00
469, 49,1,98.00
470, 45,5,90.00
471, 46,4,92.00
472, 49,1,98.00
473, 46,4,92.00
474, 43,7,86.00
475, 42,8,84.00
476, 47,3,94.00
477, 47,3,94.00
478, 44,6,88.00
479, 42,8,84.00
480, 43,7,86.00
481, 45,5,90.00
482, 40,10,80.00
483, 43,7,86.00
484, 46,4,92.00
485, 45,5,90.00
486, 47,3,94.00
487, 47,3,94.00
488, 44,6,88.00
489, 40,10,80.00
490, 41,9,82.00
491, 47,3,94.00
492, 49,1,98.00
493, 43,7,86.00
494, 46,4,92.00
495, 47,3,94.00
496, 45,5,90.00
497, 48,2,96.00
498, 45,5,90.00
499, 45,5,90.00
500, 42,8,84.00
501, 48,2,96.00
502, 45,5,90.00
503, 45,5,90.00
504, 47,3,94.00
505, 41,9,82.00
506, 46,4,92.00
507, 48,2,96.00
508, 49,1,98.00
509, 45,5,90.00
510, 45,5,90.00
511, 44,6,88.00
512, 47,3,94.00
513, 48,2,96.00
514, 47,3,94.00
515, 45,5,90.00
516, 43,7,86.00
517, 44,6,88.00
518, 47,3,94.00
519, 41,9,82.00
520, 47,3,94.00
521, 44,6,88.00
522, 47,3,94.00
523, 47,3,94.00
524, 44,6,88.00
525, 47,3,94.00
526, 47,3,94.00
527, 46,4,92.00
528, 46,4,92.00
529, 42,8,84.00
530, 46,4,92.00
531, 43,7,86.00
532, 45,5,90.00
533, 43,7,86.00
534, 41,9,82.00
535, 41,9,82.00
536, 46,4,92.00
537, 44,6,88.00
538, 41,9,82.00
539, 43,7,86.00
540, 44,6,88.00
541, 40,10,80.00
542, 44,6,88.00
543, 47,3,94.00
544, 49,1,98.00
545, 45,5,90.00
546, 44,6,88.00
547, 45,5,90.00
548, 45,5,90.00
549, 45,5,90.00
550, 44,6,88.00
551, 46,4,92.00
552, 44,6,88.00
553, 45,5,90.00
554, 46,4,92.00
555, 45,5,90.00
556, 44,6,88.00
557, 42,8,84.00
558, 44,6,88.00
559, 46,4,92.00
560, 44,6,88.00
561, 45,5,90.00
562, 47,3,94.00
563, 43,7,86.00
564, 44,6,88.00
565, 44,6,88.00
566, 47,3,94.00
567, 46,4,92.00
568, 45,5,90.00
569, 45,5,90.00
570, 47,3,94.00
571, 44,6,88.00
572, 43,7,86.00
573, 46,4,92.00
574, 42,8,84.00
575, 45,5,90.00
576, 48,2,96.00
577, 46,4,92.00
578, 45,5,90.00
579, 44,6,88.00
580, 43,7,86.00
581, 45,5,90.00
582, 40,10,80.00
583, 46,4,92.00
584, 44,6,88.00
585, 45,5,90.00
586, 48,2,96.00
587, 47,3,94.00
588, 43,7,86.00
589, 44,6,88.00
590, 49,1,98.00
591, 44,6,88.00
592, 46,4,92.00
593, 43,7,86.00
594, 44,6,88.00
595, 45,5,90.00
596, 46,4,92.00
597, 45,5,90.00
598, 45,5,90.00
599, 42,8,84.00
600, 45,5,90.00
601, 43,7,86.00
602, 45,5,90.00
603, 47,3,94.00
604, 45,5,90.00
605, 45,5,90.00
606, 44,6,88.00
607, 42,8,84.00
608, 42,8,84.00
609, 44,6,88.00
610, 41,9,82.00
611, 46,4,92.00
612, 44,6,88.00
613, 46,4,92.00
614, 42,8,84.00
615, 47,3,94.00
616, 44,6,88.00
617, 46,4,92.00
618, 42,8,84.00
619, 43,7,86.00
620, 43,7,86.00
621, 44,6,88.00
622, 44,6,88.00
623, 45,5,90.00
624, 45,5,90.00
625, 45,5,90.00
626, 43,7,86.00
627, 45,5,90.00
628, 46,4,92.00
629, 45,5,90.00
630, 41,9,82.00
631, 42,8,84.00
632, 49,1,98.00
633, 48,2,96.00
634, 43,7,86.00
635, 48,2,96.00
636, 45,5,90.00
637, 41,9,82.00
638, 41,9,82.00
639, 42,8,84.00
640, 45,5,90.00
641, 47,3,94.00
642, 41,9,82.00
643, 47,3,94.00
644, 47,3,94.00
645, 45,5,90.00
646, 41,9,82.00
647, 45,5,90.00
648, 41,9,82.00
649, 44,6,88.00
650, 48,2,96.00
651, 45,5,90.00
652, 41,9,82.00
653, 42,8,84.00
654, 43,7,86.00
655, 43,7,86.00
656, 45,5,90.00
657, 40,10,80.00
658, 44,6,88.00
659, 45,5,90.00
660, 44,6,88.00
661, 44,6,88.00
662, 43,7,86.00
663, 46,4,92.00
664, 46,4,92.00
665, 42,8,84.00
666, 45,5,90.00
667, 47,3,94.00
668, 44,6,88.00
669, 44,6,88.00
670, 47,3,94.00
671, 45,5,90.00
672, 42,8,84.00
673, 44,6,88.00
674, 47,3,94.00
675, 44,6,88.00
676, 46,4,92.00
677, 44,6,88.00
678, 42,8,84.00
679, 46,4,92.00
680, 47,3,94.00
681, 42,8,84.00
682, 46,4,92.00
683, 42,8,84.00
684, 47,3,94.00
685, 43,7,86.00
686, 42,8,84.00
687, 46,4,92.00
688, 46,4,92.00
689, 45,5,90.00
690, 47,3,94.00
691, 44,6,88.00
692, 45,5,90.00
693, 46,4,92.00
694, 46,4,92.00
695, 45,5,90.00
696, 48,2,96.00
697, 45,5,90.00
698, 43,7,86.00
699, 45,5,90.00
700, 37,13,74.00
701, 47,3,94.00
702, 45,5,90.00
703, 44,6,88.00
704, 44,6,88.00
705, 44,6,88.00
706, 48,2,96.00
707, 44,6,88.00
708, 46,4,92.00
709, 44,6,88.00
710, 46,4,92.00
711, 47,3,94.00
712, 44,6,88.00
713, 45,5,90.00
714, 43,7,86.00
715, 44,6,88.00
716, 48,2,96.00
717, 46,4,92.00
718, 44,6,88.00
719, 44,6,88.00
720, 48,2,96.00
721, 44,6,88.00
722, 45,5,90.00
723, 44,6,88.00
724, 41,9,82.00
725, 40,10,80.00
726, 47,3,94.00
727, 48,2,96.00
728, 45,5,90.00
729, 46,4,92.00
730, 48,2,96.00
731, 44,6,88.00
732, 45,5,90.00
733, 48,2,96.00
734, 46,4,92.00
735, 47,3,94.00
736, 41,9,82.00
737, 45,5,90.00
738, 48,2,96.00
739, 45,5,90.00
740, 43,7,86.00
741, 46,4,92.00
742, 46,4,92.00
743, 46,4,92.00
744, 49,1,98.00
745, 48,2,96.00
746, 43,7,86.00
747, 46,4,92.00
748, 44,6,88.00
749, 45,5,90.00
750, 44,6,88.00
751, 44,6,88.00
752, 44,6,88.00
753, 46,4,92.00
754, 46,4,92.00
755, 43,7,86.00
756, 46,4,92.00
757, 44,6,88.00
758, 45,5,90.00
759, 45,5,90.00
760, 42,8,84.00
761, 45,5,90.00
762, 42,8,84.00
763, 47,3,94.00
764, 45,5,90.00
765, 46,4,92.00
766, 44,6,88.00
767, 43,7,86.00
768, 43,7,86.00
769, 45,5,90.00
770, 44,6,88.00
771, 47,3,94.00
772, 45,5,90.00
773, 45,5,90.00
774, 46,4,92.00
775, 48,2,96.00
776, 46,4,92.00
777, 43,7,86.00
778, 47,3,94.00
779, 47,3,94.00
780, 48,2,96.00
781, 44,6,88.00
782, 43,7,86.00
