batch,hit,miss,rate
1, 32,18,64.00
2, 38,12,76.00
3, 29,21,58.00
4, 38,12,76.00
5, 33,17,66.00
6, 25,25,50.00
7, 38,12,76.00
8, 37,13,74.00
9, 37,13,74.00
10, 40,10,80.00
11, 33,17,66.00
12, 34,16,68.00
13, 37,13,74.00
14, 33,17,66.00
15, 39,11,78.00
16, 32,18,64.00
17, 28,22,56.00
18, 38,12,76.00
19, 36,14,72.00
20, 40,10,80.00
21, 41,9,82.00
22, 40,10,80.00
23, 39,11,78.00
24, 37,13,74.00
25, 39,11,78.00
26, 33,17,66.00
27, 32,18,64.00
28, 36,14,72.00
29, 31,19,62.00
30, 38,12,76.00
31, 32,18,64.00
32, 31,19,62.00
33, 37,13,74.00
34, 35,15,70.00
35, 31,19,62.00
36, 35,15,70.00
37, 35,15,70.00
38, 39,11,78.00
39, 35,15,70.00
40, 33,17,66.00
41, 43,7,86.00
42, 39,11,78.00
43, 34,16,68.00
44, 32,18,64.00
45, 41,9,82.00
46, 29,21,58.00
47, 41,9,82.00
48, 35,15,70.00
49, 44,6,88.00
50, 39,11,78.00
51, 34,16,68.00
52, 36,14,72.00
53, 38,12,76.00
54, 39,11,78.00
55, 35,15,70.00
56, 38,12,76.00
57, 38,12,76.00
58, 40,10,80.00
59, 32,18,64.00
60, 35,15,70.00
61, 35,15,70.00
62, 36,14,72.00
63, 32,18,64.00
64, 32,18,64.00
65, 31,19,62.00
66, 37,13,74.00
67, 37,13,74.00
68, 37,13,74.00
69, 38,12,76.00
70, 37,13,74.00
71, 34,16,68.00
72, 37,13,74.00
73, 40,10,80.00
74, 36,14,72.00
75, 32,18,64.00
76, 34,16,68.00
77, 36,14,72.00
78, 38,12,76.00
79, 37,13,74.00
80, 33,17,66.00
81, 38,12,76.00
82, 37,13,74.00
83, 34,16,68.00
84, 34,16,68.00
85, 41,9,82.00
86, 33,17,66.00
87, 31,19,62.00
88, 40,10,80.00
89, 39,11,78.00
90, 39,11,78.00
91, 32,18,64.00
92, 37,13,74.00
93, 36,14,72.00
94, 33,17,66.00
95, 32,18,64.00
96, 37,13,74.00
97, 33,17,66.00
98, 38,12,76.00
99, 42,8,84.00
100, 34,16,68.00
101, 40,10,80.00
102, 37,13,74.00
103, 39,11,78.00
104, 36,14,72.00
105, 37,13,74.00
106, 34,16,68.00
107, 36,14,72.00
108, 29,21,58.00
109, 38,12,76.00
110, 35,15,70.00
111, 37,13,74.00
112, 40,10,80.00
113, 35,15,70.00
114, 34,16,68.00
115, 43,7,86.00
116, 33,17,66.00
117, 38,12,76.00
118, 35,15,70.00
119, 35,15,70.00
120, 33,17,66.00
121, 35,15,70.00
122, 39,11,78.00
123, 36,14,72.00
124, 32,18,64.00
125, 39,11,78.00
126, 35,15,70.00
127, 37,13,74.00
128, 35,15,70.00
129, 42,8,84.00
130, 39,11,78.00
131, 36,14,72.00
132, 35,15,70.00
133, 36,14,72.00
134, 36,14,72.00
135, 39,11,78.00
136, 35,15,70.00
137, 35,15,70.00
138, 34,16,68.00
139, 40,10,80.00
140, 34,16,68.00
141, 43,7,86.00
142, 34,16,68.00
143, 38,12,76.00
144, 36,14,72.00
145, 34,16,68.00
146, 33,17,66.00
147, 35,15,70.00
148, 39,11,78.00
149, 38,12,76.00
150, 37,13,74.00
151, 36,14,72.00
152, 30,20,60.00
153, 35,15,70.00
154, 36,14,72.00
155, 37,13,74.00
156, 36,14,72.00
157, 36,14,72.00
158, 32,18,64.00
159, 37,13,74.00
160, 36,14,72.00
161, 38,12,76.00
162, 36,14,72.00
163, 38,12,76.00
164, 36,14,72.00
165, 40,10,80.00
166, 33,17,66.00
167, 37,13,74.00
168, 31,19,62.00
169, 41,9,82.00
170, 32,18,64.00
171, 30,20,60.00
172, 36,14,72.00
173, 37,13,74.00
174, 38,12,76.00
175, 36,14,72.00
176, 33,17,66.00
177, 34,16,68.00
178, 31,19,62.00
179, 37,13,74.00
180, 34,16,68.00
181, 37,13,74.00
182, 33,17,66.00
183, 35,15,70.00
184, 37,13,74.00
185, 33,17,66.00
186, 40,10,80.00
187, 37,13,74.00
188, 37,13,74.00
189, 34,16,68.00
190, 36,14,72.00
191, 37,13,74.00
192, 32,18,64.00
193, 34,16,68.00
194, 32,18,64.00
195, 36,14,72.00
196, 36,14,72.00
197, 39,11,78.00
198, 31,19,62.00
199, 40,10,80.00
200, 34,16,68.00
201, 37,13,74.00
202, 40,10,80.00
203, 37,13,74.00
204, 35,15,70.00
205, 38,12,76.00
206, 33,17,66.00
207, 33,17,66.00
208, 38,12,76.00
209, 37,13,74.00
210, 33,17,66.00
211, 31,19,62.00
212, 35,15,70.00
213, 34,16,68.00
214, 38,12,76.00
215, 36,14,72.00
216, 30,20,60.00
217, 41,9,82.00
218, 38,12,76.00
219, 35,15,70.00
220, 38,12,76.00
221, 35,15,70.00
222, 36,14,72.00
223, 35,15,70.00
224, 35,15,70.00
225, 36,14,72.00
226, 32,18,64.00
227, 42,8,84.00
228, 37,13,74.00
229, 38,12,76.00
230, 38,12,76.00
231, 36,14,72.00
232, 37,13,74.00
233, 39,11,78.00
234, 36,14,72.00
235, 40,10,80.00
236, 30,20,60.00
237, 37,13,74.00
238, 33,17,66.00
239, 35,15,70.00
240, 37,13,74.00
241, 35,15,70.00
242, 39,11,78.00
243, 34,16,68.00
244, 36,14,72.00
245, 38,12,76.00
