batch,hit,miss,rate
290, 46,4,92.00
291, 46,4,92.00
292, 44,6,88.00
293, 41,9,82.00
294, 47,3,94.00
295, 45,5,90.00
296, 45,5,90.00
297, 47,3,94.00
298, 45,5,90.00
299, 41,9,82.00
300, 48,2,96.00
301, 45,5,90.00
302, 45,5,90.00
303, 47,3,94.00
304, 44,6,88.00
305, 48,2,96.00
306, 41,9,82.00
307, 47,3,94.00
308, 48,2,96.00
309, 47,3,94.00
310, 43,7,86.00
311, 45,5,90.00
312, 40,10,80.00
313, 47,3,94.00
314, 43,7,86.00
315, 42,8,84.00
316, 47,3,94.00
317, 46,4,92.00
318, 42,8,84.00
319, 46,4,92.00
320, 47,3,94.00
321, 41,9,82.00
322, 41,9,82.00
323, 47,3,94.00
324, 48,2,96.00
325, 44,6,88.00
326, 43,7,86.00
327, 47,3,94.00
328, 49,1,98.00
329, 44,6,88.00
330, 41,9,82.00
331, 45,5,90.00
332, 48,2,96.00
333, 46,4,92.00
334, 44,6,88.00
335, 47,3,94.00
336, 41,9,82.00
337, 45,5,90.00
338, 41,9,82.00
339, 43,7,86.00
340, 49,1,98.00
341, 45,5,90.00
342, 43,7,86.00
343, 47,3,94.00
344, 43,7,86.00
345, 47,3,94.00
346, 45,5,90.00
347, 43,7,86.00
348, 42,8,84.00
349, 49,1,98.00
350, 45,5,90.00
351, 46,4,92.00
352, 45,5,90.00
353, 47,3,94.00
354, 46,4,92.00
355, 43,7,86.00
356, 47,3,94.00
357, 44,6,88.00
358, 45,5,90.00
359, 48,2,96.00
360, 44,6,88.00
361, 41,9,82.00
362, 43,7,86.00
363, 47,3,94.00
364, 47,3,94.00
365, 43,7,86.00
366, 47,3,94.00
367, 44,6,88.00
368, 44,6,88.00
369, 49,1,98.00
370, 46,4,92.00
371, 48,2,96.00
372, 45,5,90.00
373, 47,3,94.00
374, 48,2,96.00
375, 45,5,90.00
376, 44,6,88.00
377, 44,6,88.00
378, 43,7,86.00
379, 44,6,88.00
380, 47,3,94.00
381, 47,3,94.00
382, 47,3,94.00
383, 45,5,90.00
384, 48,2,96.00
385, 46,4,92.00
386, 47,3,94.00
387, 45,5,90.00
388, 42,8,84.00
389, 44,6,88.00
390, 48,2,96.00
391, 46,4,92.00
392, 42,8,84.00
393, 46,4,92.00
394, 42,8,84.00
395, 45,5,90.00
396, 43,7,86.00
397, 42,8,84.00
398, 43,7,86.00
399, 47,3,94.00
400, 41,9,82.00
401, 48,2,96.00
402, 46,4,92.00
403, 43,7,86.00
404, 44,6,88.00
405, 42,8,84.00
406, 45,5,90.00
407, 46,4,92.00
408, 46,4,92.00
409, 44,6,88.00
410, 45,5,90.00
411, 43,7,86.00
412, 47,3,94.00
413, 44,6,88.00
414, 45,5,90.00
415, 49,1,98.00
416, 45,5,90.00
417, 46,4,92.00
418, 43,7,86.00
419, 49,1,98.00
420, 46,4,92.00
421, 41,9,82.00
422, 47,3,94.00
423, 45,5,90.00
424, 46,4,92.00
425, 48,2,96.00
426, 46,4,92.00
427, 45,5,90.00
428, 46,4,92.00
429, 46,4,92.00
430, 43,7,86.00
431, 46,4,92.00
432, 47,3,94.00
433, 47,3,94.00
434, 43,7,86.00
435, 45,5,90.00
436, 40,10,80.00
437, 45,5,90.00
438, 49,1,98.00
439, 49,1,98.00
440, 43,7,86.00
441, 46,4,92.00
442, 41,9,82.00
443, 43,7,86.00
444, 46,4,92.00
445, 45,5,90.00
