batch,hit,miss,rate
1, 48,2,96.00
2, 47,3,94.00
3, 46,4,92.00
4, 46,4,92.00
5, 47,3,94.00
6, 47,3,94.00
7, 45,5,90.00
8, 48,2,96.00
9, 47,3,94.00
10, 45,5,90.00
11, 49,1,98.00
12, 48,2,96.00
13, 46,4,92.00
14, 45,5,90.00
15, 45,5,90.00
16, 46,4,92.00
17, 47,3,94.00
18, 47,3,94.00
19, 45,5,90.00
20, 47,3,94.00
21, 45,5,90.00
22, 48,2,96.00
23, 48,2,96.00
24, 45,5,90.00
25, 46,4,92.00
26, 47,3,94.00
27, 48,2,96.00
28, 45,5,90.00
29, 50,0,100.00
30, 42,8,84.00
31, 44,6,88.00
32, 48,2,96.00
33, 46,4,92.00
34, 48,2,96.00
35, 45,5,90.00
36, 45,5,90.00
37, 43,7,86.00
38, 43,7,86.00
39, 45,5,90.00
40, 48,2,96.00
41, 46,4,92.00
42, 48,2,96.00
43, 48,2,96.00
44, 46,4,92.00
45, 46,4,92.00
46, 43,7,86.00
47, 46,4,92.00
48, 43,7,86.00
49, 44,6,88.00
50, 43,7,86.00
51, 46,4,92.00
52, 45,5,90.00
53, 49,1,98.00
54, 47,3,94.00
55, 50,0,100.00
56, 46,4,92.00
57, 43,7,86.00
58, 46,4,92.00
59, 46,4,92.00
60, 46,4,92.00
61, 46,4,92.00
62, 45,5,90.00
63, 47,3,94.00
64, 44,6,88.00
65, 44,6,88.00
66, 48,2,96.00
67, 47,3,94.00
68, 45,5,90.00
69, 46,4,92.00
70, 46,4,92.00
71, 48,2,96.00
72, 45,5,90.00
73, 44,6,88.00
74, 47,3,94.00
75, 46,4,92.00
76, 45,5,90.00
77, 47,3,94.00
78, 47,3,94.00
79, 50,0,100.00
80, 46,4,92.00
81, 46,4,92.00
82, 43,7,86.00
83, 46,4,92.00
84, 46,4,92.00
85, 47,3,94.00
86, 48,2,96.00
87, 47,3,94.00
88, 46,4,92.00
89, 48,2,96.00
90, 46,4,92.00
91, 45,5,90.00
92, 46,4,92.00
93, 42,8,84.00
94, 50,0,100.00
95, 46,4,92.00
96, 45,5,90.00
97, 50,0,100.00
98, 48,2,96.00
99, 46,4,92.00
100, 46,4,92.00
101, 49,1,98.00
102, 48,2,96.00
103, 45,5,90.00
104, 47,3,94.00
105, 44,6,88.00
106, 49,1,98.00
107, 50,0,100.00
108, 46,4,92.00
109, 46,4,92.00
110, 47,3,94.00
111, 46,4,92.00
112, 49,1,98.00
113, 43,7,86.00
114, 46,4,92.00
115, 44,6,88.00
116, 50,0,100.00
117, 45,5,90.00
118, 44,6,88.00
119, 50,0,100.00
120, 47,3,94.00
121, 45,5,90.00
122, 46,4,92.00
123, 47,3,94.00
124, 49,1,98.00
125, 47,3,94.00
126, 48,2,96.00
127, 48,2,96.00
128, 48,2,96.00
129, 42,8,84.00
130, 46,4,92.00
131, 46,4,92.00
132, 46,4,92.00
133, 47,3,94.00
134, 46,4,92.00
135, 48,2,96.00
136, 42,8,84.00
137, 48,2,96.00
138, 45,5,90.00
139, 48,2,96.00
140, 44,6,88.00
141, 45,5,90.00
142, 44,6,88.00
143, 46,4,92.00
144, 47,3,94.00
145, 45,5,90.00
146, 48,2,96.00
147, 48,2,96.00
148, 47,3,94.00
149, 46,4,92.00
150, 46,4,92.00
151, 46,4,92.00
152, 46,4,92.00
153, 45,5,90.00
154, 48,2,96.00
155, 48,2,96.00
156, 46,4,92.00
157, 44,6,88.00
158, 46,4,92.00
159, 47,3,94.00
160, 47,3,94.00
161, 47,3,94.00
162, 49,1,98.00
163, 47,3,94.00
164, 46,4,92.00
165, 47,3,94.00
166, 44,6,88.00
167, 45,5,90.00
168, 46,4,92.00
169, 48,2,96.00
170, 43,7,86.00
171, 46,4,92.00
172, 43,7,86.00
173, 48,2,96.00
174, 47,3,94.00
175, 46,4,92.00
176, 45,5,90.00
177, 46,4,92.00
178, 50,0,100.00
179, 47,3,94.00
180, 47,3,94.00
181, 47,3,94.00
182, 46,4,92.00
183, 48,2,96.00
184, 47,3,94.00
185, 46,4,92.00
186, 48,2,96.00
187, 46,4,92.00
188, 47,3,94.00
189, 45,5,90.00
190, 46,4,92.00
191, 47,3,94.00
192, 47,3,94.00
193, 45,5,90.00
194, 49,1,98.00
195, 47,3,94.00
196, 46,4,92.00
197, 42,8,84.00
198, 47,3,94.00
199, 48,2,96.00
200, 44,6,88.00
